Date;No;HKD;PHP;JPY;MYR;SGD
06/01/2020 Senin;94;777.076;50.59;108.37;4.11;1.35
07/01/2020 Selasa;95;777.578;50.71;108.45;4.09;1.35
08/01/2020 Rabu;96;777.551;50.53;109.07;4.07;1.35
09/01/2020 Kamis;97;776.783;50.55;109.48;4.07;1.35
10/01/2020 Jumat;98;776.642;50.47;109.51;4.06;1.35
12/01/2020 Minggu;99;776.691;50.61;109.54;4.08;1.35
13/01/2020 Senin;100;777.219;50.74;109.94;4.07;1.35
14/01/2020 Selasa;101;777.653;50.85;109.99;4.07;1.35
15/01/2020 Rabu;102;777.172;50.92;109.87;4.06;1.35
16/01/2020 Kamis;103;777.264;50.92;110.18;4.06;1.35
17/01/2020 Jumat;104;776.786;50.98;110.17;4.06;1.35
19/01/2020 Minggu;105;776.842;51.00;110.13;4.08;1.35
20/01/2020 Senin;106;776.932;50.91;110.18;4.06;1.35
21/01/2020 Selasa;107;777.087;50.98;109.86;4.08;1.35
22/01/2020 Rabu;108;777.206;50.82;109.83;4.07;1.35
23/01/2020 Kamis;109;777.328;50.80;109.53;4.06;1.35
24/01/2020 Jumat;110;777.355;50.86;109.29;4.07;1.35
26/01/2020 Minggu;111;777.406;50.75;108.92;4.08;1.35
27/01/2020 Senin;112;777.717;50.85;108.91;4.08;1.36
28/01/2020 Selasa;113;777.616;50.98;109.23;4.08;1.36
29/01/2020 Rabu;114;777.315;51.01;109.01;4.08;1.36
30/01/2020 Kamis;115;776.649;51.04;108.94;4.08;1.36
31/01/2020 Jumat;116;776.425;50.90;108.36;4.12;1.36
02/02/2020 Minggu;117;776.539;50.77;108.33;4.11;1.36
03/02/2020 Senin;118;776.633;50.79;108.67;4.13;1.37
04/02/2020 Selasa;119;776.564;50.82;109.46;4.13;1.37
05/02/2020 Rabu;120;776.320;50.96;109.81;4.14;1.38
06/02/2020 Kamis;121;776.392;50.95;110.00;4.14;1.39
07/02/2020 Jumat;122;776.604;50.85;109.79;4.16;1.39
09/02/2020 Minggu;123;776.588;50.60;109.73;4.13;1.39
10/02/2020 Senin;124;776.622;50.57;109.76;4.15;1.39
11/02/2020 Selasa;125;776.565;50.48;109.79;4.15;1.39
12/02/2020 Rabu;126;777.114;50.56;110.09;4.14;1.39
13/02/2020 Kamis;127;776.681;50.53;109.82;4.14;1.39
14/02/2020 Jumat;128;776.795;50.58;109.78;4.15;1.39
16/02/2020 Minggu;129;776.758;50.70;109.79;4.17;1.39
17/02/2020 Senin;130;776.803;50.63;109.86;4.16;1.39
18/02/2020 Selasa;131;776.845;50.70;109.86;4.19;1.39
19/02/2020 Rabu;132;777.180;50.89;111.25;4.18;1.39
20/02/2020 Kamis;133;778.017;50.97;112.07;4.18;1.40
21/02/2020 Jumat;134;778.730;51.07;111.58;4.21;1.40
23/02/2020 Minggu;135;779.023;51.08;111.45;4.22;1.40
24/02/2020 Senin;136;779.475;51.05;110.64;4.23;1.40
25/02/2020 Selasa;137;779.096;50.98;110.20;4.19;1.40
26/02/2020 Rabu;138;779.289;50.96;110.43;4.20;1.40
27/02/2020 Kamis;139;779.501;50.85;109.54;4.21;1.40
28/02/2020 Jumat;140;779.407;50.71;108.06;4.19;1.39
01/03/2020 Minggu;141;779.414;50.80;107.44;4.18;1.39
02/03/2020 Senin;142;778.024;50.59;108.25;4.19;1.39
03/03/2020 Selasa;143;777.102;50.84;107.14;4.14;1.39
04/03/2020 Rabu;144;777.084;50.53;107.55;4.19;1.38
05/03/2020 Kamis;145;777.174;50.26;106.12;4.17;1.38
06/03/2020 Jumat;146;777.282;50.56;105.36;4.21;1.38
08/03/2020 Minggu;147;777.061;50.51;104.42;4.26;1.38
09/03/2020 Senin;148;777.117;50.64;102.25;4.26;1.38
10/03/2020 Selasa;149;776.858;51.19;105.28;4.29;1.39
11/03/2020 Rabu;150;776.854;51.04;104.44;4.30;1.39
12/03/2020 Kamis;151;777.764;50.65;104.72;4.28;1.41
13/03/2020 Jumat;152;776.846;51.51;108.02;4.31;1.41
